bezirke,bezirke-href,bezirkname,Wahlvorschlag,Kandidat(in),Stimmen,Stimmenanteil in %
25400 - Pieschen-Nord (Trachenberger Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-25400-pieschen-nordtrachenbergerstr_gesamt.html,,AfD,"Vogel, Stefan",33,"5,6"
52702 - Striesen-Ost (Lauensteiner Str.-Süd),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-52702-striesen-ostlauensteinerstr-sd_gesamt.html,,AfD,"Vogel, Stefan",23,"5,5"
45110 - Weißig (Heidestr./​Marienbäder),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-45110-weiigheidestrmarienbder_gesamt.html,01100 - Innere Altstadt,,,,
84400 - Kaitz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-84400-kaitz_gesamt.html,,Festerling,"Festerling, Tatjana",43,"15,9"
56002 - Seidnitz-Mitte,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-56002-seidnitz-mitte_gesamt.html,01100 - Innere Altstadt,,,,
84200 - Kleinpestitz (Eppendorfer Weg),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-84200-kleinpestitzeppendorferweg_gesamt.html,,AfD,"Vogel, Stefan",11,"3,2"
86800 - Plauen (Hohenplauen),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-86800-plauenhohenplauen_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",191,"40,9"
53600 - Striesen-Süd (Haenel-Clauß-Platz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-53600-striesen-sdhaenel-clau-platz_gesamt.html,,Gültige,,331,"99,7"
31602 - Klotzsche (Königswald-Mitte),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-31602-klotzscheknigswald-mitte_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",199,"41,3"
95200 - Gorbitz-Süd (Wölfnitzer Ring-Ost),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-95200-gorbitz-sdwlfnitzerring-ost_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",63,"27,2"
62501 - Laubegast (Melli-Beese-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-62501-laubegastmelli-beese-str_gesamt.html,,Die PARTEI,"Stosch, Lars",10,"1,8"
31001 - Klotzsche-1,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-31001-klotzsche-1_gesamt.html,,Festerling,"Festerling, Tatjana",51,"7,6"
56402 - Dobritz (Kadenstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-56402-dobritzkadenstr_gesamt.html,,AfD,"Vogel, Stefan",65,"10,1"
35010 - Weixdorf,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-35010-weixdorf_gesamt.html,,Gültige,,547,"99,8"
86300 - Plauen (Regensburger Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-86300-plauenregensburgerstr_gesamt.html,,Die PARTEI,"Stosch, Lars",15,"2,8"
07300 - Johannstadt-Süd (Nicolaistr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-07300-johannstadt-sdnicolaistr_gesamt.html,,AfD,"Vogel, Stefan",20,"4,3"
61500 - Leuben (Altleuben-West),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-61500-leubenaltleuben-west_gesamt.html,,Die PARTEI,"Stosch, Lars",4,"0,8"
74301 - Nickern (Altnickern)/​Kauscha,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-74301-nickernaltnickernkauscha_gesamt.html,,AfD,"Vogel, Stefan",49,"7,6"
47010 - Schönfeld/​Schullwitz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-47010-schnfeldschullwitz_gesamt.html,,Festerling,"Festerling, Tatjana",31,"9,6"
73101 - Niedersedlitz (Friedrich-Ebert-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-73101-niedersedlitzfriedrich-ebert-str_gesamt.html,,AfD,"Vogel, Stefan",41,"6,7"
42200 - Loschwitz-Nordost,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-42200-loschwitz-nordost_gesamt.html,,AfD,"Vogel, Stefan",21,"3,3"
71400 - Prohlis-Nord (Albert-Wolf-Platz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-71400-prohlis-nordalbert-wolf-platz_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",95,"27,6"
12302 - Radeberger Vorstadt (Fischhausstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-12302-radebergervorstadtfischhausstr_gesamt.html,,Gültige,,328,"98,5"
36410 - OS Schönborn,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-36410-osschnborn_gesamt.html,01100 - Innere Altstadt,,,,
54200 - Striesen-West (Tittmannstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-54200-striesen-westtittmannstr_gesamt.html,,CDU,"Ulbig, Markus",82,"14,2"
85200 - Coschütz-West,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-85200-coschtz-west_gesamt.html,,Festerling,"Festerling, Tatjana",74,"12,8"
53001 - Striesen-Süd-1,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-53001-striesen-sd-1_gesamt.html,,AfD,"Vogel, Stefan",21,"3,3"
55101 - Tolkewitz (Wehlener Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-55101-tolkewitzwehlenerstr_gesamt.html,,Gültige,,460,"99,6"
